region,class,predict
176.0,12.0,12.0
177.0,5.0,5.0
178.0,5.0,15.0
179.0,7.0,7.0
180.0,7.0,7.0
181.0,12.0,12.0
182.0,12.0,12.0
183.0,12.0,12.0
184.0,7.0,7.0
185.0,7.0,7.0
186.0,5.0,5.0
187.0,5.0,5.0
188.0,7.0,7.0
189.0,7.0,7.0
190.0,12.0,12.0
191.0,7.0,7.0
192.0,12.0,12.0
193.0,12.0,12.0
194.0,12.0,5.0
195.0,12.0,12.0
196.0,5.0,5.0
197.0,12.0,12.0
198.0,12.0,12.0
199.0,12.0,12.0
200.0,5.0,5.0
201.0,5.0,5.0
202.0,5.0,5.0
203.0,5.0,5.0
204.0,7.0,7.0
205.0,5.0,5.0
206.0,12.0,12.0
207.0,7.0,7.0
208.0,5.0,5.0
209.0,7.0,7.0
210.0,5.0,5.0
211.0,12.0,12.0
212.0,12.0,12.0
213.0,12.0,12.0
214.0,12.0,12.0
215.0,12.0,12.0
216.0,4.0,4.0
217.0,12.0,12.0
218.0,12.0,12.0
219.0,12.0,12.0
220.0,12.0,5.0
221.0,4.0,4.0
222.0,7.0,7.0
223.0,5.0,5.0
224.0,12.0,12.0
225.0,12.0,12.0
226.0,12.0,12.0
227.0,12.0,12.0
228.0,12.0,12.0
229.0,12.0,12.0
230.0,12.0,12.0
231.0,12.0,12.0
232.0,4.0,15.0
233.0,12.0,12.0
234.0,12.0,12.0
235.0,12.0,12.0
236.0,5.0,5.0
237.0,7.0,7.0
238.0,12.0,12.0
239.0,4.0,4.0
240.0,12.0,12.0
241.0,12.0,12.0
242.0,12.0,12.0
243.0,12.0,12.0
244.0,12.0,12.0
245.0,12.0,12.0
246.0,7.0,7.0
247.0,4.0,4.0
248.0,5.0,5.0
249.0,5.0,5.0
250.0,12.0,12.0
251.0,12.0,12.0
252.0,4.0,4.0
253.0,12.0,12.0
254.0,4.0,15.0
255.0,4.0,5.0
256.0,12.0,12.0
257.0,5.0,5.0
258.0,12.0,12.0
259.0,4.0,15.0
260.0,12.0,12.0
261.0,4.0,15.0
262.0,5.0,5.0
263.0,4.0,4.0
264.0,5.0,5.0
265.0,12.0,12.0
266.0,12.0,12.0
267.0,7.0,7.0
268.0,12.0,12.0
269.0,12.0,12.0
270.0,7.0,7.0
271.0,5.0,5.0
272.0,4.0,15.0
273.0,12.0,12.0
274.0,12.0,12.0
275.0,12.0,12.0
276.0,12.0,12.0
277.0,5.0,5.0
278.0,12.0,12.0
279.0,5.0,15.0
280.0,12.0,12.0
281.0,5.0,5.0
282.0,12.0,12.0
283.0,12.0,15.0
284.0,4.0,4.0
285.0,12.0,12.0
286.0,12.0,12.0
287.0,12.0,12.0
288.0,12.0,12.0
289.0,12.0,5.0
290.0,12.0,12.0
291.0,5.0,5.0
292.0,12.0,5.0
293.0,5.0,5.0
294.0,12.0,12.0
295.0,12.0,12.0
296.0,12.0,12.0
297.0,12.0,5.0
298.0,12.0,12.0
299.0,12.0,12.0
300.0,12.0,12.0
301.0,4.0,15.0
302.0,7.0,7.0
303.0,12.0,12.0
304.0,12.0,12.0
305.0,5.0,5.0
306.0,12.0,12.0
307.0,12.0,12.0
308.0,12.0,12.0
309.0,12.0,12.0
310.0,5.0,5.0
311.0,12.0,12.0
312.0,5.0,5.0
313.0,12.0,12.0
314.0,12.0,12.0
315.0,12.0,12.0
316.0,12.0,12.0
317.0,12.0,15.0
318.0,12.0,12.0
319.0,5.0,5.0
320.0,12.0,12.0
321.0,12.0,12.0
322.0,12.0,12.0
323.0,12.0,12.0
324.0,15.0,4.0
325.0,15.0,15.0
326.0,12.0,5.0
327.0,12.0,12.0
328.0,12.0,12.0
329.0,7.0,7.0
330.0,4.0,15.0
331.0,5.0,5.0
332.0,4.0,15.0
333.0,12.0,12.0
334.0,12.0,12.0
335.0,12.0,12.0
336.0,12.0,5.0
337.0,5.0,5.0
338.0,12.0,5.0
339.0,12.0,12.0
340.0,12.0,5.0
341.0,12.0,12.0
342.0,15.0,15.0
343.0,12.0,12.0
344.0,12.0,12.0
345.0,12.0,12.0
346.0,12.0,12.0
347.0,12.0,12.0
348.0,12.0,12.0
349.0,12.0,12.0
350.0,12.0,12.0
351.0,5.0,5.0
352.0,12.0,12.0
353.0,12.0,5.0
354.0,7.0,7.0
355.0,12.0,12.0
356.0,12.0,12.0
357.0,7.0,7.0
358.0,12.0,12.0
359.0,7.0,7.0
360.0,4.0,4.0
361.0,5.0,15.0
362.0,12.0,12.0
363.0,12.0,12.0
364.0,12.0,12.0
365.0,12.0,12.0
366.0,15.0,7.0
367.0,7.0,7.0
368.0,12.0,12.0
369.0,5.0,5.0
370.0,12.0,12.0
371.0,12.0,12.0
372.0,12.0,5.0
373.0,12.0,5.0
374.0,7.0,7.0
375.0,15.0,15.0
376.0,15.0,15.0
377.0,12.0,5.0
378.0,5.0,5.0
379.0,5.0,5.0
380.0,5.0,15.0
381.0,7.0,7.0
382.0,15.0,15.0
383.0,5.0,5.0
384.0,7.0,7.0
385.0,4.0,4.0
386.0,12.0,12.0
387.0,15.0,15.0
388.0,12.0,12.0
389.0,7.0,7.0
390.0,7.0,15.0
391.0,15.0,15.0
392.0,12.0,12.0
393.0,5.0,5.0
394.0,4.0,4.0
395.0,7.0,7.0
396.0,4.0,15.0
397.0,5.0,5.0
398.0,15.0,15.0
399.0,5.0,5.0
400.0,5.0,5.0
401.0,7.0,7.0
402.0,5.0,15.0
403.0,15.0,15.0
404.0,7.0,7.0
405.0,7.0,7.0
406.0,15.0,15.0
407.0,7.0,7.0
408.0,12.0,12.0
409.0,5.0,5.0
410.0,5.0,5.0
411.0,12.0,12.0
412.0,7.0,7.0
413.0,15.0,15.0
414.0,12.0,12.0
415.0,15.0,15.0
416.0,7.0,7.0
417.0,7.0,7.0
418.0,15.0,15.0
419.0,7.0,7.0
420.0,7.0,7.0
421.0,15.0,5.0
422.0,12.0,5.0
423.0,15.0,15.0
424.0,15.0,15.0
425.0,12.0,12.0
426.0,15.0,15.0
427.0,15.0,15.0
428.0,4.0,15.0
429.0,15.0,15.0
430.0,15.0,15.0
431.0,15.0,15.0
432.0,15.0,15.0
433.0,15.0,15.0
434.0,15.0,15.0
435.0,15.0,15.0
436.0,7.0,7.0
437.0,15.0,15.0
438.0,15.0,15.0
439.0,15.0,15.0
440.0,15.0,15.0
441.0,15.0,15.0
442.0,15.0,15.0
443.0,15.0,15.0
444.0,7.0,7.0
445.0,7.0,7.0
446.0,15.0,15.0
447.0,7.0,15.0
448.0,4.0,15.0
449.0,4.0,15.0
450.0,15.0,15.0
451.0,7.0,7.0
452.0,15.0,15.0
453.0,15.0,15.0
454.0,15.0,15.0
455.0,15.0,15.0
456.0,7.0,7.0
457.0,15.0,15.0
458.0,7.0,7.0
459.0,15.0,15.0
460.0,7.0,7.0
461.0,7.0,7.0
462.0,12.0,7.0
463.0,7.0,7.0
464.0,15.0,15.0
465.0,7.0,7.0
466.0,7.0,7.0
467.0,15.0,15.0
468.0,7.0,7.0
469.0,15.0,15.0
470.0,7.0,7.0
471.0,7.0,7.0
472.0,7.0,7.0
473.0,15.0,15.0
474.0,15.0,15.0
475.0,7.0,7.0
476.0,15.0,15.0
477.0,12.0,12.0
478.0,15.0,15.0
479.0,7.0,7.0
480.0,15.0,15.0
481.0,15.0,15.0
482.0,15.0,15.0
483.0,15.0,15.0
484.0,15.0,15.0
485.0,15.0,15.0
486.0,15.0,15.0
487.0,15.0,15.0
488.0,12.0,12.0
489.0,15.0,15.0
490.0,15.0,15.0
491.0,15.0,15.0
492.0,15.0,15.0
493.0,15.0,15.0
494.0,15.0,15.0
495.0,15.0,15.0
496.0,15.0,15.0
497.0,7.0,15.0
498.0,15.0,15.0
499.0,15.0,15.0
500.0,15.0,15.0
501.0,15.0,15.0
502.0,15.0,15.0
503.0,12.0,12.0
504.0,15.0,15.0
505.0,15.0,15.0
506.0,12.0,12.0
507.0,15.0,15.0
508.0,15.0,15.0
509.0,15.0,15.0
510.0,15.0,15.0
511.0,7.0,7.0
512.0,15.0,15.0
513.0,15.0,15.0
514.0,15.0,15.0
515.0,15.0,15.0
516.0,12.0,12.0
517.0,15.0,15.0
518.0,7.0,7.0
519.0,7.0,7.0
520.0,15.0,5.0
521.0,15.0,15.0
522.0,15.0,15.0
523.0,15.0,15.0
524.0,7.0,7.0
525.0,15.0,15.0
526.0,7.0,7.0
527.0,15.0,15.0
528.0,15.0,5.0
529.0,15.0,15.0
530.0,15.0,7.0
531.0,15.0,15.0
532.0,15.0,15.0
533.0,15.0,15.0
534.0,15.0,15.0
535.0,15.0,15.0
536.0,15.0,15.0
537.0,15.0,15.0
538.0,15.0,15.0
539.0,15.0,15.0
540.0,15.0,5.0
541.0,15.0,15.0
542.0,15.0,15.0
543.0,15.0,15.0
